,comment,nhelpful,unixtime,work,flags,user,stars,time,user_encoded,work_encoded,review_date,year,month,time_decay,adjusted_stars,final_stars
261,"I enjoyed this book by Graham Greene but it needs a rewrite. I found myself editing some badly constructed sentences, and the plot is ridiculous. Furthermore, events in this pre WW2 story are linked by coincidence after coincidence. The redeeming quality is the familiar narrative voice of Graham Greene, both comforting and compelling. I confess to an enthusiastic read, from first lines to a somewhat rambling conclusion, but I can give it only three stars. ",0,1358640000.0,3264632,[],Cathymacleod,3.0,"Jan 20, 2013",5211,279457,2013-01-20,2013,1,0.0,0.0,1.5
262,"Do you want to find the state of logic at any time from pre-Aristotelian Greece to the mid 20th century? Do you want to see how the work of Frege fits into the development of logic? In short, have you any interest in logic? This scholarly and comprehensive book is the best work written for you. It always rests on my desk for ease of reference. ",0,1273276800.0,171725,[],Landric,5.0,"May 8, 2010",15159,195313,2010-05-08,2010,5,0.0,0.0,2.5
263,"It's not often you get a writer who can grasp the challenge of writing in two POV's. Maggie grasped it and excelled. Sam and Grace are both strong in character. You really could feel the connection between the two characters. Grace's parents are pretty much null and void of the book. When Grace meets Sam she finds out it's ""her"" wolf the one she has she believed saved her from the wolf attack when she was younger. The love grew through the entire book. Sam can stay in human form in the warmer months but when the cold starts rushing in the question will be can Sam return to his human for again or will this he be in wolf form forever? I do recommend this, it's a lighter read and it engrosses you. I can't wait for Linger.",0,1274572800.0,8192752,[],cleverlyinked,4.0,"May 23, 2010",38375,442538,2010-05-23,2010,5,0.0,0.0,2.0
264,"Just a week or so ago I reviewed Motherland, a satirical exploration of parenthood and relationships in upper class Brooklyn. Triburbia is set just across the East River in Manhattan with a near identical premise and unfortunately I didn't enjoy this novel any more than I did the other.
Loosely connected by business, relationships or simply the school run, the men of Triburbia, whose creative professions allow them some flexibility, meet casually over breakfast to discuss film, sports and politics. Beginning with the Sound Engineer (113 North Moore), Greenfield reveals the histories of this group of men that includes a sculptor, a film producer, a writer, a career criminal, and the wives and daughters who share their lives.
With a mixture of first and third person narratives, it's disconcerting to start a chapter with a new character that has no identity except for an address and a profession. I was never entirely sure who was speaking, surprised once or twice to find it was a wife or even a daughter interjecting into the narrative. More properly a series of vignettes rather than a novel Triburbia has a disjointed feel, with no sure direction, though Greenfield does bring things full circle eventually.
There are one or two characters than inspire some sympathy, the father struggling with doing his best by his autistic son and the man who lost his first love and to his sister for example, but largely these men are shallow and self involved, fretting over real estate values, sex and social status. After the first few introductions, these men - their concerns and their ambitions - are all too similar. While Greenfield's observations may be wryly accurate they lack the insight I hoped for.
The wives are almost uniformly distant from their husbands, busy with work, childcare or in the case of at least one mother, an extensive drug habit. The vignettes that introduce the daughters of these men - the precocious, status aware Cooper and the ambitious Sadie in particular are a more interesting commentary on parenting in the enclave of the affluent.
I was perhaps more interested in the evolution of the Tribeca neighborhood than its residents. A once bohemian community full of shabby artist studios and warehouses the influx of wealthy financial types ordering ""...renovations as vast and grand in scale as the construction of ocean liners..."" ensure Tribeca is home to New York's newest millionaires. Still, a few artists remain like the puppeteer turned repairman (47 Lispenard) one of the lucky few in rent controlled loft spaces who by default is now privy to quality public schools for his children and a social status he cannot afford.
Greenfield, a resident of Tribeca, seems to have mined his own personal background for character inspiration and I suspect that his neighbours may also some recognise themselves within the pages of Triburbia. While I am sure the inhabitants of New York will delight in this portrait of their neighborhood, despite being largely unflattering, I suspect it will have little cultural relevance or interest outside of its environs. ",0,1346630400.0,12383148,[],shelleyraec,2.0,"Sep 3, 2012",74073,100218,2012-09-03,2012,9,0.0,0.0,1.0
265,Disappointing collection of some fine writers. None were memorable enough to comment. Overwhelming stories of zombies and voodoo which are not clever stories. ,0,1256774400.0,374363,[],bibefile,2.0,"Oct 29, 2009",33464,300554,2009-10-29,2009,10,0.0,0.0,1.0
266,"This book I wouldn't recommend. I was a boring book. It didn't really have a story or a point. I also felt it hard to look at. The art style looked like someone scribbled on the pages with a crayon. I do understand how it is a children's book, but when I was a child I would have just passed this book by because part of enjoying a good book at that age is looking at the good pictures. There was also a song that kept popping up throughout the book that wasn't very good either. There is a difference between simple and repetitive and I don't think the author got that.",0,1317254400.0,11562505,[],jmcneal,4.0,"Sep 29, 2011",52029,62117,2011-09-29,2011,9,0.0,0.0,2.0
267,"A hard sci fi retelling of the Faulkner short story, the Bear. I hate faulkner and I'm not overly fond of hard sci fi, so the cruddy rating I gave this novel is probably based on personal taste rather than the fact the work was duller'n watchin' paint dry. ",0,1134864000.0,187750,[],hyborianmike,2.0,"Dec 18, 2005",48883,206860,2005-12-18,2005,12,0.0,0.0,1.0
268,Couldn't put this one down! I recommend this for anyone who grew up in the 70s and 80s... ,0,1232928000.0,7510512,[],lilgrnclover,5.0,"Jan 26, 2009",58123,420465,2009-01-26,2009,1,0.0,0.0,2.5
269,"Well, this if for sure not the kind of book I normally read. But I must say that I liked it. Some parts are very recognisable, like the care for (grand)parents after their spouse died and the argues families can get in when money is involved. However much Nadia holds on to the 'good' side of people, Vera keeps reminding her of the underbelly of society. Peace Baby and War Baby ... I think they are a perfect example of a very different generation within one family. ",0,1316304000.0,74276,[],Moriquen,4.0,"Sep 18, 2011",18831,418356,2011-09-18,2011,9,0.0,0.0,2.0
270,"I dont normally read books that are over 1000 pages and after reading Reamde, Im a little reluctant to read something this big again. Not that there was anything wrong with this book; but sitting at over 1100 pages, it was a big task chipping away through this book. Neal Stephenson provides a story full of nerdism, thrills and a lot of action, dipping into aspects of organised crime and terrorism. My first thought of this book was the MMORPG (Massively Multiplayer Online Role-Playing Game) game that this book is based around; every aspect of this game is covered in this book. It takes all the aspects he liked about World of Warcraft and gave it a face lift, threw out all the parts he didnt like, even going to the extent of making the world geographically accurate for people interested in mining. But the underlining reason for TRain, is the gold farming market; while Blizzard tries to crack down on farming, this game is based around a potential money laundry scheme. While TRain was created for sinister reasons, the creation of the game and the employee of popular fantasy writers turned the game into a huge success. Just reading about this game made me want to play it. This game serves as a background for the main plot in Reamde. 
While there is a lot happening in Reamde, the main plot is centred around a virus, which encrypts files and hold them for ransom for TRain gold. This virus affects a computer containing sensitive documents of the Russian Mob, who do not wish to pay the ransom but set out to hunt down the people behind the virus and make an example of them. Along the way many people become involved including the TRain founder, a TRain employee, some Chinese gold farmers/hackers, a Russian mercenary, a Hungarian hacker, the CIA, MI6 and some international terrorists.
While I enjoyed the ride that Reamde took me on, I cant help thinking that there is a lot of fat that needs to be trimmed. Im not sure if being a bestselling author Neal Stephenson had the freedom to fatten this book up, or the editors didnt do a good job, or they intentionally left the book this long; but I think that this book could haveeasily been turned into a 700-800 page novel without losing any of the plot. While this book was really enjoyable for a nerd like me, I still cant help but wonder; does it need to be this big? ",0,1364515200.0,11129978,[],knowledgelost,4.0,"Mar 29, 2013",55820,45356,2013-03-29,2013,3,0.0,0.0,2.0
271,"Such a cute story! Toad was definitely my favorite character. I wish I'd read it to my kids when they were little. Heck, maybe I'll get them all on the phone and read it to them any way. :) ",0,1364515200.0,1534,[],Twikpet,4.0,"Mar 29, 2013",26882,181197,2013-03-29,2013,3,0.0,0.0,2.0
272,"Winner of the 1973 Premio Quinto Sol national Chicano literary award, this coming of age story is told from the point of view of little Antonio Marez. He is the last of his parents' children and they are each determined that he will grow up to take after their side of the family. His father wants him to be a vaquero on the llano as he was and his mother, of farming stock, wants him to become a priest and scholar. And he himself has no idea which way his life will hew, observing everything as he does and asking difficult questions. In her old age, Ultima, a curandera or healer, moves in with his family and becomes a sort of touchstone for him in his philosophical wonderings, not least because little Antonio witnesses great evil that even the local priest seems unable to contain whereas Ultima, called a witch by so many, vanquishes it. As he grows, he reveres Ultima even as she throws some of the things he once thought were fact into question.
Anaya has captured the nature of men and their beliefs in this simple tale juxtaposing evil and good, right and wrong, Catholicism and paganism, child and man. While the novel is very pensive, Antonio as a character is far too old for his years, even if he is a child of the 1940's. His introspection and maturity are simply not that of a 7 or 8 year old child. A novel of ideas more than a novel of action, the plot bumps along slowly from one senseless, violent death to another and interspersed with long periods of tedium. This novel does give a voice to the Chicano population in northern New Mexico and showcases early magical realism and it has some sociological significance as a result. Overall the book was a slow, sometimes mesmerizing read but isn't one that I'd suggest to most readers, knowing they'd be bogged down with the pace. ",0,1261958400.0,2357442,[],whitreidtan,3.0,"Dec 28, 2009",81631,234920,2009-12-28,2009,12,0.0,0.0,1.5
273,"""Stop pretending I'm going to be all right.""
Sixteen-year-old Tessa is fighting with her family as much as she is fighting her leukaemia. Her devoted father and annoying little brother are giving her cabin fever, her absent mother has recently reappeared in her life, and her only friend left from school is busy living a glamorous life. So Tessa makes a list of things to do before she dies - starting with sex, drugs and petty crime.
Tessa's furious teenage angst is what makes this book excruciatingly real. She could sit around and be a docile patient, but she rails against her father's cotton-wool treatment, her brother's obsession with magic tricks, and her own bad luck. As she sets off about her adventures, she learns a little about responsibility and a lot about growing up. Her determination to lose her virginity results in the inevitable horrendous experience, but she meets a nice boy later who treats her well. Petty crime and a day of saying yes, whatever the question, also end as expected, but the book is more than that - it is an exploration of what it is to be 16, to have your whole life ahead of you - but to not, and to know that Death is standing just behind you.
Downham doesn't dress anything up - Tessa's little brother can be a brat and one day wishes that she die soon and be buried at the dentist; her father cannot bring himself to let her go and spends hours on the internet researching treatments rather than spending time with Tessa. The teenagers are all messed up in teenagery ways and not everything that the reader is hoping will come true does, providing some sad reality in Tessa's environment as well as in her fate.
On the whole, however, it is a positive and beautiful book, embodying a slightly misguided but amusing and eventually fulfilling carpe diem mission.
""I want you to be with me in the dark. To hold me. To keep loving me. To help me when I get scared. To come right to the edge and see what's there."" ",0,1306713600.0,3302723,[],readingwithtea,4.0,"May 30, 2011",70397,281089,2011-05-30,2011,5,0.0,0.0,2.0
274,"A primer of the liberal view in politics in America, Eric Alterman does a fairly decent job of providing a nice summary of liberal ideals. Before I get into a discussion of the books content, an idiosyncratic point about the cover 
I hate it! I realize that Alterman probably had nothing to do with its design, but it is a clutter of cartoonish images of liberals. Although I am certain that these individuals are liberals in the truest sense of the word, the hodge-podge smattering of barely recognizable figures saps the intellectual vigor that this book could possess. It is clear the work is directed toward the choir, and the subtitle A Political Handbook for Post-Bush America only reinforces this impression.
As the core of thesis seems to be the notion that America is actually a liberal nation, rather than a conservative one  I would have called the book Were All Liberals and had an image of a blue-colored American map.
Regardless, Alterman does a fantastic job of describing liberalism in the text and clearly argues for the merits of the liberal approach to politics as not only more effective than conservativism, but also as the very nature of the American way of life.
The first part of the book answers the question What is this thing called Liberal? in four chapters. The second part, the meat of the book, discusses the maligning of the Liberal viewpoint by conservatives. Although a great series of chapters that respond point-for-point to the charges leveled against liberals by the right, at times the book falls into the trap of simply repeating the oft-heard complaints against the Bush white house and the neo-conservatives. In other words, at times Alterman offers very little aside from the notion that Liberals are simply not conservatives.
And, as most political pundits, he offers no real solutions to the issues. Given that the subtitle suggests the books is some sort of handbook, it completely lacks any actual advice.
This is a book, as usual, that preaches to the choir. It is unfortunate that the vast majority of people who actually need to read this book, those being consistently duped by the right wing media, are unlikely to ever pick it up. ",0,1207785600.0,4430595,[],bingereader,4.0,"Apr 10, 2008",33735,326743,2008-04-10,2008,4,0.0,0.0,2.0
275,"Ready Player One takes place in a futuristic, dystopian society where many members of the population find an escape from reality in a virtual world called the Oasis. The story begins after the world's richest man, David Halliday, dies and leaves his entire fortune to the first person who can find his hidden ""easter egg"" somewhere inside the Oasis. 
I really liked this book; it was a lot less morbid than I thought it was going to be. I think that this novel may be geared more towards guys rather than girls because the main character is male, but I really enjoyed it despite that.
I also liked that the action started almost immediately, and there was very little down time once the story got going. 
I'm definitely glad I took the time to read it. This is a great read for any gamer! ",0,1375228800.0,10966683,[],Shelby_Kuzma,4.0,"Jul 31, 2013",24083,37125,2013-07-31,2013,7,0.1333333333333333,0.5333333333333332,2.2666666666666666
276,"I just started this memoir by a member of the Weather Underground. What's particularly inspiring about it, so far, is the measured way Wilkerson reflects on her past self, her coming-of-age as a politicized person, and her actions. This isn't some big expose of the radical movement but a critical look at what worked and what didn't from someone who still works for social justice. ",0,1365465600.0,4105628,[],anderlawlor,5.0,"Apr 9, 2013",30493,315104,2013-04-09,2013,4,0.0,0.0,2.5
277,"I listen to Marketplace Money on NPR and hear Chris Farrell regularly. The New Frugality is an extension of his general finance philosophy. It gives good background information about how we got where we are. It also gives good financial advise in simple terms for those less financially literate. Probably not the best book for financial professionals or long time investors, but a good primer for financial novices. ",0,1276300800.0,9157771,[],thart528,3.0,"Jun 12, 2010",78223,475573,2010-06-12,2010,6,0.0,0.0,1.5
278,"A good read with an unusual twist on things. It didn't exactly make me laugh out loud but it did make me wonder if the concept is as ""out there"" as we'd like to think - I mean, there has to be some explanation for New York! I will certainly read the next one about MSI Inc and Katie Chandler. A series to watch........ ",0,1153872000.0,133469,[],Tudorrl,4.0,"Jul 26, 2006",26840,141224,2006-07-26,2006,7,0.0,0.0,2.0
279,"Surprising, mannered, restrained - especially appropriate ending. All of Wharton's endings are beautiful: inevitable without being predictable.
Wharton is one of my favourite authors, but there's something... aloof about this book. It's never struck a chord the way The House of Mirth has even though the social commentary is just as concise and the characterisation just as sharp. ",0,1222560000.0,2237,[],skullstuffing,3.0,"Sep 28, 2008",74817,228030,2008-09-28,2008,9,0.0,0.0,1.5
280,0105,0,1346630400.0,12990356,['not_a_review'],AfricaCari,4.0,"Sep 3, 2012",1089,125926,2012-09-03,2012,9,0.0,0.0,2.0
281,Top edge gilt. Original green cloth; gilt spine and front cover titles; gilt decoration of falling flowers and leaves on front cover. First edition. The plates were printed by Lemercier in Paris.,0,1163808000.0,1910069,['not_a_review'],autolycus,4.0,"Nov 18, 2006",32069,209017,2006-11-18,2006,11,0.0,0.0,2.0
282,"Sir Toby Jingle's Beastly Journey tells a tale about a knight in armour whom slays and corn swaggles many a beast. Thru time followers and animals alike come to think of him as magic because he is so quick with his sword. Animals fear him and children and adults idolize him. Over time Sir Toby Jingles gets older and more tired and is ready for retirement. Knowing that there are still ogres and other wild beasts to tame he comes up with a plan. He starts off thru the forrest telling tales of fortunes unheard of. One by one the beasts join him in his quest only to try and corner him in many a trap, none of which worked. They tried to trap him in a cave, and push him down a nine mile well. At the end of their journey he tricks them to the inside of his castle compund. For a week or so the pounded and pleaded to be let out. After they realized the accomodations were adequate and the food delectable they didnt mind being confined. They even started putting on a show for which the knight charged a single penny. This gave Sir Toby the ability to sit back and relax to enjoy his garden and books.
 I enjoyed this book to a great extent. It was unique in the sense that every other page was in color and the others in black and white. Gave it kind of an unexpected anticipation. It also incorporates mythical creatures such as the Griffin and Ogre. It had the magical overtones withoout any of the ABRA CADABRA stuff.
 In a classroom setting I would have the students incorporate art inthe sense of making up their own mythological creature that would do something unique in their animal show. We could also create an alternate ending and have the animals come up with a plan to contain the Kniht and make him perform. ",0,1277683200.0,1599440,[],kandlekrazey,3.0,"Jun 28, 2010",53829,186237,2010-06-28,2010,6,0.0,0.0,1.5
283,"Finally finished!! There were good points in this book, the actual story was good and interesting. The problem was the author went on long tangents away from the actual story line. The tangents were relavent to the story in a way that your elementary school teachers are relavant to your life. I wouldnt recomment to someone who likes a fast paced book, but for someone who likes a slow paced book, that meanders along until it gets to the point, this is the book for them. ",0,1269302400.0,5896001,[],jlouise77,2.5,"Mar 23, 2010",51948,379745,2010-03-23,2010,3,0.0,0.0,1.25
284,"Paradise Rules by Beth Kery
Contemporary Romance- Oct. 6th, 2009
4 stars
Paradise Rules demonstrates why Beth Kery is an author to watch out for! In her latest installment, she explores the journey of her heroines transformation, one that includes some very erotic scenes that kept me glued to the pages!
Lana Rodriguez has issues. When you are popular and famous people try to take advantage of you and she has had to learn the hard and painful way to protect herself and her own. When her friend Melanie is devastated by a nasty divorce Lara decides to drag her with her to Hawaii for a vacation. Once there they both decide to take surfing lesson with Jason Koa. A beautiful if arrogant playboy that annoys Lana. The tension between the 2 is powerful. But Lana and Jasons mutual dislike overlays an intense attraction. When Lana decides to boost her friends spirits and have a girls night out she decides to call an escort service for her friend and herself. But when she opens her door she is surprised to find Jason ready to service ALL her needs! She is helpless to stop her addiction to his charms but Jason says they can only continue their affair if she agrees to his rules. 
Jason wants Lara and when he hears that his cousins escort service latest contract is to find Lana a man, he decides to volunteer himself! As Jason pushes Lara, a woman who is used to control, he doesnt realize the powder keg he has opened. Jason is very dominant and protective. Seeing Lanas true vulnerability breaks something inside him. He wants to be the one she turns to, the one to comfort her. But her painful past prevents her from being impulsive or spontaneous. And when the tabloid releases a scandal concerning their escorted relationship they face hard decisions. Is this new relationship something worth holding onto?
Beth Kery excels at hot and sensual scenes. At first I found Lanas character abrasive and Jasons arrogance a bit of a turn off. But as the author slowly built the tension and reveals the vulnerability in her characters I could not stop the pull I felt for the 2! Lanas childhood is scarred and I wondered if she could see through er past of pain. Lana is an intensely private person and she feels comfortable that way. And Jasons very dominant and forceful appearance in her life makes big changes for her. Lana questions her motto to keep men out of her life, but having Jason around makes her feel sooo good. Should she take a chance with Jason? Taking risk with her emotions is difficult for her. She must confront her demons and let a man be there for her when no man has before. 
I really enjoyed the relationship between the 2 characters, especially Lanas transformation. They were a well matched pair that were wonderful together.
Reviewed by Steph from the Bookaholics Romance Book Club ",0,1262736000.0,8478875,[],BookaholicsReviewer,4.0,"Jan 6, 2010",3908,454126,2010-01-06,2010,1,0.0,0.0,2.0
285,"from notecard for class in 2004:
Rating: 2 (out of a 3 star system?)
Summary: A child goes ""owling"" with their Pa. Describes how they have to be silent, and how the woods look at night. (I think I got the idea better from the language than fhe illustrations though.)
RL: 3.2; IL: LG",0,1324684800.0,74539,[],YoungGeekyLibrarian,4.0,"Dec 24, 2011",28107,418668,2011-12-24,2011,12,0.0,0.0,2.0
286,"This title had been on my TBR pile for quite some time; it just seemed so cute. I thought that it would be a fun, light read to get me through an afternoon.
While I liked this title and really did think that it was cute, I was honestly, a little disappointed. Jane is not the most responsible teenager, even though she has a job, and jobs automatically equal responsibility, right? It is mentioned that she did well in school to the point where she had all her required courses done Junior year, which enables her to take fluff classes for senior year as well as a couple college courses in the afternoons. Awesome, right? Come to find out, she's been skipping all of her classes for weeks and no one has called her on it. Big pet peeve!!! There's also absent parenting!!! Bigger pet peeve!!! Well, her parents are around, ish, but they don't pay attention. I found myself pretty much unable to focus on the bigger picture of the book until the school skipping nonsense was resolved. I'm awesome like that.
The matching people via coffee drinks doesn't majorly come into play until the last third of the novel, and it's just kind of thrown out there in a really random way, after several scenes of instant love. I know the whole premise is setting people up with their perfect match based on the favorite coffee drink, but come on, relationships are about more than coffee. (Example, my significant other doesn't even drink coffee).
While the premise is cute, and there are some genuinely funny lines throughout the novel, it just didn't live up to my expectations. Granted the book is very short, but I was expecting more, oomf. A cute premise, cannot fully make up for a rushed plot and mostly flat characters. While I think some will like this book, due to its length and plot, there was too much that didn't work for me and not enough humor or heart to compensate.",0,1322524800.0,6665816,[],jennladd,4.0,"Nov 29, 2011",51162,402659,2011-11-29,2011,11,0.0,0.0,2.0
287,"Read for the first time ever, and in one sitting. As a novel written in 1951, the non-pervasiveness of computers and electronic information storage and retrieval was obvious. Still enjoyable. The middle book of the three novels later grouped together as Asimov's Galactic Empire novels, it takes place when only half of the galaxy under Trantor's control. ",0,1218067200.0,24631,[],pmsyyz,5.0,"Aug 7, 2008",68812,240545,2008-08-07,2008,8,0.0,0.0,2.5
288,"""Love launched the haphazard six-thousand-mile odyssey that the twenty-five-year-old Robert Louis Stevenson recounts in this memoir and travel book. For it was during a trip to France that Stevenson fell so totally in love with the vivacious Fanny Osbourne that he determined to follow her to America and make her his wife. No matter that an ocean and a continent, not to mention Fanny's difficult husband, stood between Stevenson and his amorous aim."" ""Sailing from Scotland in 1879 as a steerage passenger on a steamer of dubious seaworthiness, the sickly Stevenson first endured a turbulent Atlantic crossing and then, after a frenetic stopover in New York City, embarked on the two-week trip of three thousand miles across the continent the fastest and cheapest way possible - by emigrant train. He arrived finally in the frontier town of San Francisco, there to woo his future wife, and found himself enchanted by California as well."" In his record of this journey Stevenson captures the spirit of the young country he traveled, relishes the antics of the rambunctious inhabitants he encountered, and renders in vivid and often hilarious detail his impressions of the awesome, still-untamed American continent he discovered.",1,1132790400.0,12699199,[],antimuzak,4.0,"Nov 24, 2005",31152,113205,2005-11-24,2005,11,0.0,0.0,2.0
289,When I lived in California and visited wineries this was one books that we used to determine where we would visit. One of the important considerations in Kramer appreciating a wine was whether it reflected the terroir of the location. I liked the fact that he let you know why he appreciated or did not appreciate a wine. ,0,1205625600.0,2007230,[],willyt,4.0,"Mar 16, 2008",81778,214872,2008-03-16,2008,3,0.0,0.0,2.0
290,"This is not one of Block's better efforts. I found the story to be pretty vague and sometimes confusing. Towards the end, it became more interesting but not enough to make up for the beginning and middle. ",0,1186358400.0,1181521,[],little_mrs,2.0,"Aug 6, 2007",58507,72030,2007-08-06,2007,8,0.0,0.0,1.0
291,"In this fantasy fiction book Martina is a beautiful cockroach with many suitors, her abuela (grandmother) tells her to use the coffee test. The coffee test is where you spill coffee on your suitors shoes and then you know how he'll handle anger. Martina tries this on many suitors and they all fail. Finally she tries it on a mouse, and he passes winning Marina over as his bride. ",0,1257379200.0,3360144,[],ekean06,4.0,"Nov 5, 2009",43200,283760,2009-11-05,2009,11,0.0,0.0,2.0
292,"En el contexto de la creciente preocupacin por el pasado reciente que desde las postrimeras del siglo XX caracteriza a buena parte de las sociedades occidentales, la espaola ha evidenciado un renovado inters por los sucesos relacionados con el prolongado perodo de la Guerra Civil, el exilio y el rgimen franquista. La literatura no ha permanecido al margen de una corriente de la memoria que se ramifica en todos los mbitos sociales y se expresa a travs de mltiples manifestaciones de la cultura. En particular, el gnero narrativo ofrece un territorio privilegiado para dar respuestas a complejas inquietudes y arduos interrogantes que surgen en torno a los hechos traumticos que marcaron la Espaa del novecientos. La serie de estudios aqu reunidos analiza, en novelas y textos publicados en su mayor parte en los ltimos veinticinco aos, las huellas que las experiencias sombras y los conflictos no resueltos dejan en la ficcin. A partir de un marco que integra cuestiones estticas, retricas y testimoniales, con debates de ndole tica o historiogrfica, y puntualizaciones de orden poltico y legal, los autores del volumen ponen de relieve la necesaria articulacin de los distintos saberes humansticos a la hora de intentar comprender los procesos que configuran la memoria del pasado reciente. ",0,1301616000.0,11128601,[],BibliotecaUNED,4.0,"Apr 1, 2011",3476,45293,2011-04-01,2011,4,0.0,0.0,2.0
293,"Bestselling author Sara Foster presents her third novel, Shallow Breath, a compelling story of loss and love.
After two years of incarceration, Desi Priest is finally free to return home and begin making amends for the impulsive act that destroyed her family. While her long term friend, Pete, welcomes her back with open arms, her teenage daughter, Maya, will barely talk to her, neither her father or he brother, Jackson, can look her in the eye and her best friend, Rebecca, may never be able to forgive her.
Unfolding through multiple perspectives, Shallow Breath moves between the past and the present while roaming over five continents. It's an ambitious range that Sara Foster manages well, building a comprehensive picture of her characters and their passions.
As Desi contemplates her future she recalls her past, her short lived career working with the dolphins of the Atlantis Marine Park, her relationship with Maya's father, Connor, an American marine biologist who was tragically killed before Maya was born, the dreams she gave up to raise her daughter and the tragedy that led to her prison term.
Meanwhile Pete continues to try and protect Desi from some harsh truths, abandoning his own dreams to support, Maya rebels against her mother's concern, and Jackson is distracted by the enigmatic Kate, whose secret has the potential to destroy them all.
The author's passion for animal conservation is a central issue in Shallow Breath, which explores the abuse of kangaroo's, the horrors of dolphin slaughter in Japan, the threats to the orangutan-tan in Sumatra, the diminishing population of whale sharks off the coast of Galapagos Islands and the hunting of elephants in Africa. Though I felt at times the information crowds the story, the information is thought provoking and inspires compassion for these threatened creatures.
One of the settings of the novel that particularly appealed to me was the West Australian town of Two Rocks where the the Atlantis Marine Park once stood. I have fond memories of visiting the attraction regularly as a child and remember well my delight at seeing King Neptune towering over the entrance on our approach. My family moved to New South Wales in 1988 so I wasn't aware that the park was closed just a few years later and I was saddened to learn of it's demise.
An engaging novel that is sure to haunt you, this is an absorbing read. Dive into Shallow Breath - you won't regret it. ",0,1355961600.0,13326500,[],shelleyraec,3.5,"Dec 20, 2012",74073,140382,2012-12-20,2012,12,0.0,0.0,1.75
294,"A delightfully naughty duckling persists in going his own way. His siblings, Right Way and Your Way, do just what mother duck wants, but Wrong Way insists on marching to his own drummer. Whether his legs are bored with walking or he insists on eating snails when everyone else is going for a swim, he does things his own way. Eventually, his mother and siblings agree that it's not the wrong way - it's just different.
The story is a bit light and a little too heavy-handed in its moral in places, but the real appeal of this picture book is the pictures. The ducklings are adorably fluffy and Rossell has perfectly captured their gawky awkwardness and long legs. Their mother is comfortably fluffy and agreeably indulgent. The soft pastels and delicate details of the ducks and landscape are extremely appealing.
Verdict: A delightfully calming book for toddlers and well worth the extra effort to purchase it - Kane Miller titles need to be purchased direct or through Usborne.
ISBN: 9781610670777; Published March 2012 by Kane Miller; Review copy provided by publisher; Added to the library's wishlist",0,1329609600.0,9727413,[],JeanLittleLibrary,4.0,"Feb 19, 2012",12192,496343,2012-02-19,2012,2,0.0,0.0,2.0
295,"A fun short read about Sacks's trip to Oaxaca with a group of fern enthusiasts. He writes about the plants, the people, the markets, and his experiences having a good time and exploring the world. ",0,1364601600.0,5862,[],amaraduende,3.0,"Mar 30, 2013",30087,378560,2013-03-30,2013,3,0.0,0.0,1.5
296,"Rybczynski tracks the construction of a neotraditional development -- New Daleville -- on a former corn field in rural Chester County, Pennsylvania. The author drops in broader discussions at opportune points in the story; topics include the history of subdivisions in America, neotraditionalism (or new urbanism, though the term seems wholly inappropriate for this rural location) as an planning and architectural movement, and the stylistic preferences of American homebuyers. As someone with no practical experience of the development process, I found this book a valuable introduction to the different players -- the developer, the architects, the builders, the marketers, the local officials -- and their contrasting agendas. Rybczynski presents the various perspectives even-handedly, giving the various characters the chance (through candid quotations) to speak for themselves. 
Two aspects of the work frustrated me. First, at several points, Rybczynski equates environmentalism with reflexive opposition to development. As an environmentalist who supports sustainable development, I found the casual stereotyping inept and annoying. Second, Rybczynski underplays a striking lesson of his story: that the big national builders' economic model, based on rigorous standardization, is fundamentally incompatible with the neotraditionalist goal of distinct local character. It's clear that the layout of the finished development will be neighborhood-focused, but it's also clear that stylistically, the houses will all look like houses everywhere else. Rybzcynski's postscript is a cop out: ""Developers tread a delicate path. They are agents of change, operating between the regulations -- and desires -- of local jurisdictions and the demands of the marketplace, and they must satisfy both. That isn't always easy, and it's rarely popular."" A more pointed conclusion is that until national builders jettison a one-slate-of-options-fits-all approach and accept narrower profit margins, we won't see true neotraditional development for other than the most expensive neighborhoods. Still, the story is told with enough detail that a reader can draw his or her own lessons, and the ride is illuminating.
Out of curiosity, I've gone searching for updates on the history of New Daleville since this book was published in April 2007. As of late December 2008, I've found only an NPR Morning Edition report from August 22, 2008, noting that home sales in the neighborhood have slowed, with half the lots still unbuilt. I hope Rybczynski someday returns to the topic, perhaps in a magazine article, to trace the fate of New Daleville through the financial meltdown and recession of 2008-2009. ",0,1230595200.0,2491019,[],bezoar44,4.0,"Dec 30, 2008",33352,242100,2008-12-30,2008,12,0.0,0.0,2.0
297,"Chester's Mill is a small community of approximately 2,000 residents. One fall day, a dome suddenly encases the entire town. The initial casualties are nothing compared to what is to come. With a series of unfortunate events, a corrupt town hall and the U.S. government unable to provide assistance, a few brave citizens have to find out what's causing the dome, and get rid of it, before they're killed by a used car salesman or the deteriorating environment within the dome.
Under the Dome is an excellent read. I would place it within my top four favorite Stephen King books following 1.)Dark Tower Series, 2.)The Talisman, 3.)The Stand. King's speciality is developing a community of unique characters and then letting the very worst of the bunch seize control. In this book, the ugly side of human nature is more frightening than any supernatural activity. I was drawn into this book and could not put it down. ",0,1269561600.0,7765390,[],crochetbunnii,5.0,"Mar 26, 2010",39293,428258,2010-03-26,2010,3,0.0,0.0,2.5
